,CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL,SMILES_check
587,A8475,Mitotane (Lsodren),53-19-0,F05,L1021-07,320.04,DMSO,C14H10Cl4,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,insoluble in H2O; ≥12.5 mg/mL in DMSO; ≥25.85 mg/mL in EtOH,Free Base,Others,Others,Antineoplastic agents against adrenocortical carcinoma,https://www.apexbt.com/search.php?catalog=A8475,1
588,A8478,Monobenzone,103-16-2,F06,L1021-07,200.23,DMSO,C13H12O2,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,insoluble in H2O; ≥55.8 mg/mL in EtOH; ≥9.8 mg/mL in DMSO,Free Base,Others,Others,Skin depigmenting agent,https://www.apexbt.com/search.php?catalog=A8478,1
589,A8479,Noscapine HCl,912-60-7,F07,L1021-07,449.88,DMSO,C22H23NO7·HCl,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3.Cl,insoluble in H2O; ≥10.38 mg/mL in EtOH with gentle warming; ≥18.47 mg/mL in DMSO,hydrochloride,Others,Others,Multi-action opioid alkaloid,https://www.apexbt.com/search.php?catalog=A8479,1
590,A8481,Nevirapine,129618-40-2,F08,L1021-07,266.3,DMSO,C15H14N4O,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,insoluble in H2O; ≥13.3 mg/mL in DMSO; ≥3.02 mg/mL in EtOH with gentle warming,Free Base,Microbiology & Virology,Reverse Transcriptase,Non-nucleoside reverse transcriptase inhibitor,https://www.apexbt.com/search.php?catalog=A8481,1
591,A8482,Nicotine Difartrate,65-31-6,F09,L1021-07,462.46,DMSO,C18H26N2O12,CN1CCCC1C2=CN=CC=C2.C(C(C(=O)O)O)(C(=O)O)O.C(C(C(=O)O)O)(C(=O)O)O,insoluble in EtOH; ≥16.1 mg/mL in DMSO; ≥35.5 mg/mL in H2O,ditartrate,Others,Others,Nicotinic acetylcholine receptor (nAChR) agonist,https://www.apexbt.com/search.php?catalog=A8482,1
592,A8483,Nifenazone,2139-47-1,F10,L1021-07,308.33,DMSO,C17H16N4O2,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3,Soluble in DMSO,Free Base,Others,Others,Analgesic,https://www.apexbt.com/search.php?catalog=A8483,1
593,A8484,Nimodipine,66085-59-4,F11,L1021-07,418.45,DMSO,C21H26N2O7,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,≥41.8 mg/mL in EtOH; insoluble in H2O; ≥108 mg/mL in DMSO,Free Base,Ubiquitination/Proteasome,Autophagy,Calcium Channel inhibitor & Autophagy activator,https://www.apexbt.com/search.php?catalog=A8484,1
594,A8485,Nitazoxanide,55981-09-4,G01,L1021-07,307.28,DMSO,C12H9N3O5S,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],insoluble in H2O; insoluble in EtOH; ≥13.25 mg/mL in DMSO,Free Base,Others,Others,Antiprotozoal agent,https://www.apexbt.com/search.php?catalog=A8485,1
595,A8486,Nitrofurazone,59-87-0,G02,L1021-07,198.14,DMSO,C6H6N4O4,C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N,insoluble in EtOH; insoluble in H2O; ≥9.6 mg/mL in DMSO,Free Base,Microbiology & Virology,Antibiotic,Antibiotic,https://www.apexbt.com/search.php?catalog=A8486,1
596,A8490,Olsalazine Sodium,6054-98-4,G03,L1021-07,346.2,H2O,C14H8N2O6·2Na,C1=CC(=C(C=C1NN=C2C=CC(=O)C(=C2)C(=O)O)C(=O)[O-])[O-].[Na+].[Na+],insoluble in DMSO; insoluble in EtOH; ≥17.2 mg/mL in H2O,Free Base,Microbiology & Virology,Antibiotic,Anti-inflammatory prodrug,https://www.apexbt.com/search.php?catalog=A8490,1
597,A8492,Orlistat,96829-58-2,G04,L1021-07,495.73,DMSO,C29H53NO5,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,insoluble in H2O; ≥17.4 mg/mL in DMSO; ≥26.8 mg/mL in EtOH,Free Base,Others,Others,Lipase inhibitor for obesity treatment,https://www.apexbt.com/search.php?catalog=A8492,1
598,A8493,Oxeladin Citrate,52432-72-1,G05,L1021-07,527.6,DMSO,C20H33NO3·C6H8O7,CCC(CC)(C1=CC=CC=C1)C(=O)OCCOCCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,≥25 mg/mL in DMSO; ≥24.75 mg/mL in H2O; ≥25.85 mg/mL in EtOH,citrate,Others,Others,Cough suppressant,https://www.apexbt.com/search.php?catalog=A8493,1
599,A8494,Oxethazaine,126-27-2,G06,L1021-07,467.64,DMSO,C28H41N3O3,CC(C)(CC1=CC=CC=C1)N(C)C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC2=CC=CC=C2,≥23.15 mg/mL in DMSO; insoluble in H2O; ≥50 mg/mL in EtOH,Free Base,Others,Others,Topical anesthetic,https://www.apexbt.com/search.php?catalog=A8494,1
600,A8495,Oxybutynin,5633-20-5,G07,L1021-07,357.49,DMSO,C22H31NO3,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,insoluble in H2O; ≥17.87 mg/mL in DMSO; ≥48.5 mg/mL in EtOH,Free Base,Neuroscience,AChR,AChR antagonist,https://www.apexbt.com/search.php?catalog=A8495,1
601,A8496,Paliperidone,144598-75-4,G08,L1021-07,426.48,DMSO,C23H27FN4O3,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,insoluble in H2O; insoluble in EtOH; ≥10.662 mg/mL in DMSO with gentle warming,,Neuroscience,Dopamine Receptor,Dopamine receptor antagonist,https://www.apexbt.com/search.php?catalog=A8496,1
602,A8497,Pasiniazid,2066-89-9,G09,L1021-07,290.27,DMSO,C6H7N3O·C7H7NO3,C1=CC(=C(C=C1N)O)C(=O)O.C1=CN=CC=C1C(=O)NN,insoluble in H2O; ≥14.5 mg/mL in EtOH; ≥22.75 mg/mL in DMSO,Isonicotinic,Others,Others,Anti-TB and anti-leprosy drug,https://www.apexbt.com/search.php?catalog=A8497,1
603,A8502,Piromidic Acid,19562-30-2,G10,L1021-07,288.32,DMSO,C14H16N4O3,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCCC3)C(=O)O,insoluble in H2O; insoluble in EtOH; ≥2.88 mg/mL in DMF with gentle warming; ≥3 mg/mL in DMSO with gentle warming,,Others,Others,Quinolone antibiotic,https://www.apexbt.com/search.php?catalog=A8502,1
604,A8503,Piroxicam,36322-90-4,G11,L1021-07,331.35,DMSO,C15H13N3O4S,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,insoluble in H2O; insoluble in EtOH; ≥16.57 mg/mL in DMSO,Free Base,Neuroscience,COX,Prostaglandin synthesis/Coxinhibitor,https://www.apexbt.com/search.php?catalog=A8503,1
605,A8504,Pitavastatin Calcium,147526-32-7,H01,L1021-07,880.98,DMSO,C50H46CaF2N2O8,C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)[O-])O)O)C4=CC=C(C=C4)F.C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)[O-])O)O)C4=CC=C(C=C4)F.[Ca+2],≥34.85 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Calcium,Metabolism,HMG-CoA Reductase,Enzyme HMGCR inhibitor,https://www.apexbt.com/search.php?catalog=A8504,1
606,A8506,Potassium Canrenoate,2181-04-6,H02,L1021-07,396.56,H2O,C22H29KO4,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC4(CCC(=O)[O-])O)C.[K+],insoluble in EtOH; insoluble in DMSO; ≥117.4 mg/mL in H2O,,Others,Others,Aldosterone antagonist,https://www.apexbt.com/search.php?catalog=A8506,1
607,A8507,Pridinol Methanesulfonate,6856-31-1,H03,L1021-07,391.52,DMSO,C21H29NO4S,CS(=O)(=O)O.C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,≥10.96 mg/mL in H2O with ultrasonic; ≥16.95 mg/mL in DMSO; ≥40.53 mg/mL in EtOH with ultrasonic,Methanesulfonat,Others,Others,Anticholinergic / antiparkinsonian agent,https://www.apexbt.com/search.php?catalog=A8507,1
608,A8508,Prochlorperazine,58-38-8,H04,L1021-07,373.94,DMSO,C20H24ClN3S,CN(CC1)CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(Cl)C=C4,insoluble in H2O; ≥16.5 mg/mL in DMSO; ≥58.5 mg/mL in EtOH,Free Base,Others,Others,Dopamine (D2) receptor antagonist,https://www.apexbt.com/search.php?catalog=A8508,1
609,A8509,Progesterone,57-83-0,H05,L1021-07,314.46,DMSO,C21H30O2,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,insoluble in H2O; ≥14.65 mg/mL in DMSO; ≥47.3 mg/mL in EtOH,Free Base,Endocrinology and Hormones,Estrogen/progestogen Receptor,Progesterone,https://www.apexbt.com/search.php?catalog=A8509,1
610,A8510,Ranolazine,95635-55-5,H06,L1021-07,427.54,DMSO,C24H33N3O4,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,insoluble in H2O; ≥13.18 mg/mL in EtOH with ultrasonic; ≥17.4 mg/mL in DMSO,Free Base,Others,Others,Anti-ischemic,https://www.apexbt.com/search.php?catalog=A8510,1
611,A8512,Rifaximin (Xifaxan),80621-81-4,H07,L1021-07,785.88,DMSO,C43H51N3O11,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,≥83.33 mg/mL in DMSO; insoluble in H2O; ≥30 mg/mL in EtOH with ultrasonic,Free Base,DNA Damage/DNA Repair,DNA Synthesis,"RNA synthesis inhibitor, PXR activator",https://www.apexbt.com/search.php?catalog=A8512,0
612,A8513,Riluzole,1744-22-5,H08,L1021-07,234.2,DMSO,C8H5F3N2OS,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,≥23.4 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Membrane Transporter/Ion Channel,Sodium Channel,Sodium channel protein inhibitor,https://www.apexbt.com/search.php?catalog=A8513,1
613,A8514,Risperidone,106266-06-2,H09,L1021-07,410.48,DMSO,C23H27FN4O2,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,insoluble in H2O; ≥11.49 mg/mL in EtOH with ultrasonic; ≥6.84 mg/mL in DMSO with gentle warming,Free Base,Neuroscience,5-HT Receptor,SR-2A inhibitor,https://www.apexbt.com/search.php?catalog=A8514,1
614,A8515,Rivastigmine Tartrate,129101-54-8,H10,L1021-07,400.42,DMSO,C14H22N2O2·C4H6O6,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C.C(C(C(=O)O)O)(C(=O)O)O,≥20.02 mg/mL in DMSO; ≥45.3 mg/mL in H2O; ≥79.4 mg/mL in EtOH,Tartrate,Neuroscience,AChR,AChR inhibitor,https://www.apexbt.com/search.php?catalog=A8515,1
615,A8516,Rizatriptan Benzoate,145202-66-0,H11,L1021-07,391.47,DMSO,C15H19N5·C7H6O2,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O,≥4.12 mg/mL in EtOH with ultrasonic; ≥48.9 mg/mL in H2O with ultrasonic; ≥9.79 mg/mL in DMSO,Benzoate,Neuroscience,5-HT Receptor,5-HT Receptor agonist,https://www.apexbt.com/search.php?catalog=A8516,1
616,A8518,Rosuvastatin Calcium,147098-20-2,A01,L1021-08,1001.14,DMSO,C44H54F2N6O12S2 Ca,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C.CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C.[Ca+2],≥28.55 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Endocrinology and Hormones,RAAS,HMG-CoA reductase inhibitor,https://www.apexbt.com/search.php?catalog=A8518,1
617,A8521,Silodosin,160970-54-7,A02,L1021-08,495.53,DMSO,C25H32F3N3O4,CC(CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F,≥24.78 mg/mL in DMSO; insoluble in H2O; ≥45.5 mg/mL in EtOH with ultrasonic,Free Base,GPCR/G protein,Adrenergic Receptor,α1-adrenoceptor antagonist,https://www.apexbt.com/search.php?catalog=A8521,1
618,A8522,Simvastatin (Zocor),79902-63-9,A03,L1021-08,418.6,DMSO,C25H38O5,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,insoluble in H2O; ≥102 mg/mL in EtOH with ultrasonic; ≥20.95 mg/mL in DMSO,Free Base,Metabolism,HMG-CoA Reductase,HMGCR (HMG-CoA reductase) inhibitor,https://www.apexbt.com/search.php?catalog=A8522,1
619,A8523,Sodium 4-amiropparaty Hyalrate,94-16-6,A04,L1021-08,216.17,DMSO,C9H9N2NaO3,C1=CC(=CC=C1C(=O)NCC(=O)[O-])N.[Na+],≥10.56 mg/mL in EtOH with ultrasonic; ≥129.6 mg/mL in H2O; ≥6.5 mg/mL in DMSO,Sodium,Others,Others,Sodium 4-amiropparaty Hyalrate,https://www.apexbt.com/search.php?catalog=A8523,1
620,A8525,Sotrastaurin (AEB071),425637-18-9,A05,L1021-08,438.48,DMSO,C25H22N6O2,CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,≥21.9 mg/mL in DMSO; insoluble in H2O; ≥2.55 mg/mL in EtOH with ultrasonic,Free Base,TGF-β / Smad Signaling,PKC,PKC inhibitor,https://www.apexbt.com/search.php?catalog=A8525,1
621,A8527,Sulfadiazine,68-35-9,A06,L1021-08,250.28,DMSO,C10H10N4O2S,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,insoluble in EtOH; insoluble in H2O; ≥7.55 mg/mL in DMSO,Free Base,Microbiology & Virology,Antibiotic,Sulfonamide antibiotic,https://www.apexbt.com/search.php?catalog=A8527,1
622,A8529,Tebipenempivoxil,161715-24-8,A07,L1021-08,497.63,DMSO,C22H31N3O6S2,CC1C2C(C(=O)N2C(=C1SC3CN(C3)C4=NCCS4)C(=O)OCOC(=O)C(C)(C)C)C(C)O,insoluble in H2O; ≥17.25 mg/mL in DMSO; ≥36.27 mg/mL in EtOH with ultrasonic,Free Base,Microbiology & Virology,Anti-infection,Carbapenem antibiotic,https://www.apexbt.com/search.php?catalog=A8529,1
623,A8530,Telbivudine,3424-98-4,A08,L1021-08,242.23,DMSO,C10H14N2O5,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,insoluble in EtOH; ≥11.85 mg/mL in DMSO; ≥9.24 mg/mL in H2O with ultrasonic,Free Base,Microbiology & Virology,HBV,Reverse Transcriptase inhibitor,https://www.apexbt.com/search.php?catalog=A8530,1
624,A8531,Telmisattan,144701-48-4,A09,L1021-08,514.62,DMSO,C33H30N4O2,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C5=NC6=CC=CC=C6N5C)C,insoluble in H2O; insoluble in EtOH; ≥9.6 mg/mL in DMSO with gentle warming,Free Base,Endocrinology and Hormones,RAAS,Angiotensin II receptor antagonist,https://www.apexbt.com/search.php?catalog=A8531,1
625,A8532,Teniposide,29767-20-2,A10,L1021-08,656.7,DMSO,C32H32O13S,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,≥23.65 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,DNA Damage/DNA Repair,Topoisomerase,Topoisomerase inhibitor,https://www.apexbt.com/search.php?catalog=A8532,1
626,A8533,Terbinafine,91161-71-6,A11,L1021-08,291.43,DMSO,C21H25N,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,insoluble in H2O; ≥11.9 mg/mL in DMSO; ≥67.2 mg/mL in EtOH with ultrasonic,Free Base,Microbiology & Virology,Antibiotic,Allylamine antifungal agent,https://www.apexbt.com/search.php?catalog=A8533,1
627,A8534,Terfenadine,50679-08-8,B01,L1021-08,471.67,DMSO,C32H41NO2,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,insoluble in H2O; ≥18 mg/mL in DMSO; ≥8.06 mg/mL in EtOH with ultrasonic,Free Base,Others,Others,Histamine H1-receptor antagonist,https://www.apexbt.com/search.php?catalog=A8534,1
628,A8536,Thiabendazole,148-79-8,B02,L1021-08,201.25,DMSO,C10H7N3S,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,insoluble in H2O; insoluble in EtOH; ≥8.7 mg/mL in DMSO ,Free Base,Others,Others,Fungicide,https://www.apexbt.com/search.php?catalog=A8536,1
629,A8537,Thioridazine HCl,130-61-0,B03,L1021-08,407,DMSO,C21H26N2S2·HCl,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl,≥12.25 mg/mL in EtOH with ultrasonic; ≥20.35 mg/mL in DMSO; ≥6.78 mg/mL in H2O with ultrasonic,Hydrochloride,Others,Others,Calcium channel protein inhibitor,https://www.apexbt.com/search.php?catalog=A8537,1
630,A8538,Tiopronin (Thiola),1953-02-2,B04,L1021-08,163.19,DMSO,C5H9NO3S,CC(C(=O)NCC(=O)O)S,≥110.6 mg/mL in H2O; ≥120.6 mg/mL in EtOH; ≥6.8 mg/mL in DMSO,Free Base,Others,Others,Drug for cystinuria treatment,https://www.apexbt.com/search.php?catalog=A8538,1
631,A8539,Tretinoin (Aberela),302-79-4,B05,L1021-08,300.4,DMSO,C20H28O2,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,insoluble in H2O; ≥11.9 mg/mL in DMSO; ≥5.77 mg/mL in EtOH with ultrasonic,Free Base,Others,RARs,"retinoic acid, treats acne vulgaris and keratosis pilaris",https://www.apexbt.com/search.php?catalog=A8539,1
632,A8540,Triamcinolone Acetonide,76-25-5,B06,L1021-08,434.5,DMSO,C24H31FO6,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,insoluble in H2O; ≥14.25 mg/mL in DMSO; ≥8.08 mg/mL in EtOH with ultrasonic,Free Base,Others,Others,Antiinflammatory steroid,https://www.apexbt.com/search.php?catalog=A8540,0
633,A8541,Triciribine,35943-35-2,B07,L1021-08,320.3,DMSO,C13H16N6O4,CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)CO)O)O)C(=N1)N,insoluble in H2O; insoluble in EtOH; ≥118.4 mg/mL in DMSO,,PI3K/Akt/mTOR Signaling,Akt,"Akt inhibitor,highly selective",https://www.apexbt.com/search.php?catalog=A8541,0
634,A8542,Triflurdine (Viroptic),70-00-8,B08,L1021-08,296.2,DMSO,C10H11F3N2O5,C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,≥14.45 mg/mL in DMSO; ≥17.03 mg/mL in EtOH with ultrasonic; ≥3.72 mg/mL in H2O with ultrasonic,Free Base,Apoptosis,Thymidylate Synthase,Anti-herpesvirus antiviral drug,https://www.apexbt.com/search.php?catalog=A8542,1
635,A8543,Vitamin D2 (Ergocalciferol),50-14-6,B09,L1021-08,396.65,EtOH,C28H44O,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,insoluble in H2O; ≥11.83 mg/mL in DMSO with ultrasonic; ≥16.8 mg/mL in EtOH,Free Base,Others,Others,DNA Polymerase inhibitor,https://www.apexbt.com/search.php?catalog=A8543,1
636,A8548,Fingolimod (FTY720),162359-56-0,B10,L1021-08,343.94,DMSO,C19H34ClNO2,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N.Cl,≥15.3 mg/mL in EtOH; ≥17.2 mg/mL in DMSO; ≥31.3 mg/mL in H2O with ultrasonic,,GPCR/G protein,S1P receptor,S1P receptors agonist,https://www.apexbt.com/search.php?catalog=A8548,1
637,A8549,LY335979 (Zosuquidar 3HCL),167465-36-3,B11,L1021-08,637.0,DMSO,C32H34Cl3F2N3O2,C1CN(CCN1CC(COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5C6C(C6(F)F)C7=CC=CC=C47.Cl.Cl.Cl,insoluble in EtOH; ≥17.1 mg/mL in DMSO; ≥31.9 mg/mL in H2O,,Membrane Transporter/Ion Channel,P-gp,Pgp (P-glycoprotein) inhibitor,https://www.apexbt.com/search.php?catalog=A8549,0
638,A8553,PTC124 (Ataluren),775304-57-9,C01,L1021-08,284.24,DMSO,C15H9FN2O3,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,insoluble in H2O; ≥10.6 mg/mL in DMSO; ≥2.37 mg/mL in EtOH with gentle warming,,Membrane Transporter/Ion Channel,CFTR,CFTR-G542X nonsense allele inhibitor,https://www.apexbt.com/search.php?catalog=A8553,1
639,A8555,Vandetanib (ZD6474),443913-73-3,C02,L1021-08,475.35,DMSO,C22H24BrFN4O2,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,insoluble in H2O; ≥11.88 mg/mL in DMSO with gentle warming; ≥8.74 mg/mL in EtOH,,Tyrosine Kinase,VEGFR,VEGFR2/EGFR antagonist,https://www.apexbt.com/search.php?catalog=A8555,1
640,A8556,GSK2126458,1086062-66-9,C03,L1021-08,505.5,DMSO,C25H17F2N5O3S,COC1=C(C=C(C=N1)C2=CC3=C(C=CN=C3C=C2)C4=CN=NC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F,≥25.3 mg/mL in DMSO; insoluble in H2O; ≥2.29 mg/mL in EtOH,Free Base,PI3K/Akt/mTOR Signaling,mTOR,PI3K/mTOR inhibitor,https://www.apexbt.com/search.php?catalog=A8556,1
641,A8558,BI6727 (Volasertib),755038-65-4,C04,L1021-08,618.83,DMSO,C34H50N8O3,CCC1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)OC)C,insoluble in H2O; ≥10.31 mg/mL in DMSO; ≥56.1 mg/mL in EtOH,Free Base,Cell Cycle/Checkpoint,PLK,"Plk inhibitor,highly potent",https://www.apexbt.com/search.php?catalog=A8558,1
642,A8623,TOK-001,851983-85-2,C05,L1021-08,388.56,DMSO,C26H32N2O,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4N5C=NC6=CC=CC=C65)C)O,insoluble in H2O; ≥12.4 mg/mL in DMSO; ≥26.5 mg/mL in EtOH,,Endocrinology and Hormones,Androgen Receptor,CYP17 inhibitor and androgen receptor (AR) antagonist,https://www.apexbt.com/search.php?catalog=A8623,1
643,A8628,Chloroquine diphosphate,50-63-5,C06,L1021-08,515.86,H2O,C18H26ClN3·2H3PO4,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,insoluble in DMSO; insoluble in EtOH; ≥106.06 mg/mL in H2O,Phosphate,Ubiquitination/Proteasome,Autophagy,"Antimalarial drug,TLR7 TLR9 inhibitor",https://www.apexbt.com/search.php?catalog=A8628,1
644,A8639,Deferasirox,201530-41-8,C07,L1021-08,373.37,DMSO,C21H15N3O4,O=C(O)C1=CC=C(N2C(C3=CC=CC=C3O)=NC(C4=CC=CC=C4O)=N2)C=C1,insoluble in H2O; ≥11.9 mg/mL in DMSO; ≥2.94 mg/mL in EtOH with ultrasonic,Free Base,Cell Cycle/Checkpoint,Cyclin-Dependent Kinases,Oral iron chelator,https://www.apexbt.com/search.php?catalog=A8639,1
645,A8641,LEE011,1211441-98-3,C08,L1021-08,434.54,DMSO,C23H30N8O,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5,insoluble in H2O; insoluble in EtOH; ≥10.88 mg/mL in DMSO,Free Base,Cell Cycle/Checkpoint,Cyclin-Dependent Kinases,CDK4/6 inhibitor,https://www.apexbt.com/search.php?catalog=A8641,1
646,A8644,Acyclovir,59277-89-3,C09,L1021-08,225.21,DMSO,C8H11N5O3,C1=NC2=C(N1COCCO)NC(=NC2=O)N,insoluble in H2O; insoluble in EtOH; ≥11.4 mg/mL in DMSO,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Antiviral agent,https://www.apexbt.com/search.php?catalog=A8644,1
647,A8647,Capecitabine,154361-50-9,C10,L1021-08,359.35,DMSO,C15H22FN3O6,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,≥10.97 mg/mL in H2O with ultrasonic; ≥17.95 mg/mL in DMSO; ≥66.9 mg/mL in EtOH,Free Base,DNA Damage/DNA Repair,DNA Synthesis,"DNA, RNA and protein synthesis inhibitor",https://www.apexbt.com/search.php?catalog=A8647,1
648,A8648,Oxaliplatin,61825-94-3,C11,L1021-08,397.29,DMSO,C8H14N2O4Pt,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],insoluble in EtOH; ≥37.25 mg/mL in DMSO; ≥3.94 mg/mL in H2O with gentle warming,,DNA Damage/DNA Repair,DNA Synthesis,Antitumor agent,https://www.apexbt.com/search.php?catalog=A8648,1
649,A8650,Saxagliptin,361442-04-8,D01,L1021-08,315.41,DMSO,C18H25N3O2,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N,≥123 mg/mL in EtOH; ≥14.85 mg/mL in DMSO; ≥8.32 mg/mL in H2O with ultrasonic,,Proteases,DPP-4,Selective DPP4 inhibitor,https://www.apexbt.com/search.php?catalog=A8650,1
650,A8651,LY2940680,1258861-20-9,D02,L1021-08,512.5,DMSO,C26H24F4N6O,CN1C(=CC=N1)C2=NN=C(C3=CC=CC=C32)N4CCC(CC4)N(C)C(=O)C5=C(C=C(C=C5)F)C(F)(F)F,insoluble in H2O; ≥5.2 mg/mL in EtOH with ultrasonic; ≥51.3 mg/mL in DMSO with gentle warming and ultrasonic,,Stem Cell,Hedgehog,"Hedgehog/SMO antagonist,inhibits Hh signaling",https://www.apexbt.com/search.php?catalog=A8651,1
651,A8660,Cilengitide,188968-51-6,D03,L1021-08,588.66,DMSO,C27H40N8O7,CC(C)C1C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N1C)CC2=CC=CC=C2)CC(=O)O)CCCN=C(N)N,≥29.43 mg/mL in DMSO; insoluble in H2O; ≥22.56 mg/mL in H2O,Free Base,Angiogenesis,Integrin,Integrin inhibitor for αvβ3 and αvβ5,https://www.apexbt.com/search.php?catalog=A8660,1
